ts,open,high,low,close,vol
1782202500000,62638.8,62655.8,62363.3,62373.1,3542.164
1782202800000,62373.1,62499.2,62100.0,62209.0,4070.333
1782203100000,62209.0,62316.6,61870.0,61999.7,6875.815
1782203400000,61999.7,62324.6,61988.1,62304.7,3168.048
1782203700000,62304.8,62346.6,62260.1,62310.2,1513.112
1782204000000,62310.3,62423.2,62310.2,62350.1,1193.959
1782204300000,62350.1,62350.1,62272.3,62291.5,903.533
1782204600000,62291.5,62433.0,62286.7,62415.4,769.796
1782204900000,62415.4,62428.0,62325.0,62353.7,519.17
1782205200000,62353.6,62431.9,62349.7,62389.5,464.131
1782205500000,62389.6,62408.5,62313.3,62338.1,395.974
1782205800000,62338.1,62435.9,62324.0,62405.7,428.383
1782206100000,62405.8,62445.9,62405.7,62418.7,310.678
1782206400000,62418.8,62481.2,62410.4,62456.3,651.2
1782206700000,62456.3,62482.0,62440.0,62480.1,362.068
1782207000000,62480.0,62480.1,62433.1,62445.1,320.875
1782207300000,62445.0,62471.1,62379.2,62379.3,432.921
1782207600000,62379.3,62400.0,62309.0,62333.1,835.66
1782207900000,62333.1,62387.8,62313.3,62352.4,302.019
1782208200000,62352.4,62392.8,62340.1,62365.0,174.641
1782208500000,62365.0,62377.5,62338.7,62350.2,199.086
1782208800000,62350.3,62563.9,62350.2,62515.6,970.674
1782209100000,62515.5,62533.5,62400.0,62419.6,515.174
1782209400000,62419.5,62443.2,62411.9,62430.0,185.907
1782209700000,62430.0,62430.0,62365.8,62413.4,291.936
1782210000000,62413.4,62413.5,62331.1,62338.1,294.749
1782210300000,62338.2,62352.6,62282.5,62332.8,444.935
1782210600000,62332.8,62354.0,62251.8,62273.0,510.085
1782210900000,62273.0,62323.3,62260.0,62271.6,383.648
1782211200000,62271.6,62286.6,62207.1,62234.2,492.193
1782211500000,62234.2,62300.0,62215.3,62259.7,487.827
1782211800000,62259.7,62277.0,62218.1,62240.0,492.072
1782212100000,62240.0,62324.7,62239.8,62290.4,363.561
1782212400000,62290.4,62387.0,62289.2,62305.1,605.438
1782212700000,62305.0,62359.0,62291.0,62324.2,215.663
1782213000000,62324.1,62363.4,62324.1,62355.1,173.046
1782213300000,62355.1,62411.5,62355.0,62407.3,290.353
1782213600000,62407.3,62559.9,62359.9,62533.5,1066.547
1782213900000,62533.4,62533.5,62452.3,62515.1,575.259
1782214200000,62515.1,62600.0,62511.3,62514.5,1166.492
1782214500000,62514.4,62597.0,62510.2,62589.4,469.078
1782214800000,62589.3,62597.3,62533.1,62533.3,230.623
1782215100000,62533.2,62576.0,62413.7,62413.7,512.887
1782215400000,62413.7,62484.6,62390.5,62484.6,412.212
1782215700000,62484.6,62509.5,62450.0,62478.5,246.825
1782216000000,62478.4,62531.6,62436.6,62437.4,350.297
1782216300000,62437.5,62464.2,62420.4,62458.2,242.209
1782216600000,62458.2,62458.2,62356.9,62404.0,455.226
1782216900000,62404.0,62424.5,62362.6,62388.9,315.569
1782217200000,62388.9,62388.9,62338.2,62362.5,266.887
1782217500000,62362.6,62380.0,62308.2,62380.0,283.849
1782217800000,62380.0,62452.4,62308.6,62308.6,316.914
1782218100000,62308.5,62373.0,62268.5,62283.0,481.698
1782218400000,62283.0,62317.8,62268.4,62308.7,414.371
1782218700000,62308.7,62313.4,62272.8,62285.6,308.008
1782219000000,62285.6,62293.3,62157.0,62270.2,1980.597
1782219300000,62270.1,62307.2,62218.6,62227.9,465.854
1782219600000,62228.0,62260.7,62130.0,62173.7,1049.26
1782219900000,62173.6,62194.6,62083.3,62084.2,1156.482
1782220200000,62084.2,62187.8,62041.0,62154.9,1191.872
1782220500000,62154.9,62155.0,62070.0,62096.6,399.464
1782220800000,62096.6,62118.5,62043.6,62088.0,499.965
1782221100000,62088.0,62088.0,61978.0,62023.5,1081.368
1782221400000,62023.5,62431.3,61916.9,62288.0,3641.871
1782221700000,62288.0,62397.2,62196.0,62298.3,1468.348
1782222000000,62298.3,62406.2,62178.9,62366.0,1252.866
1782222300000,62365.9,62472.0,62236.8,62340.6,1336.86
1782222600000,62340.5,62513.4,62336.0,62399.8,1349.095
1782222900000,62399.8,62474.8,62322.0,62446.6,643.087
1782223200000,62446.5,62595.0,62402.3,62529.2,1879.498
