ts,open,high,low,close,vol
1781892900000,63133.9,63137.8,63079.3,63083.9,399.712
1781893800000,63083.9,63159.2,62958.0,63029.4,827.447
1781894700000,63029.3,63115.0,62982.5,63079.3,369.886
1781895600000,63079.2,63088.0,62972.6,63030.0,366.169
1781896500000,63029.9,63035.9,62907.4,62968.9,393.25
1781897400000,62968.9,63001.5,62927.5,62973.8,396.111
1781898300000,62973.8,63117.0,62958.0,63001.9,564.024
1781899200000,63001.8,63055.5,62986.7,63053.1,255.364
1781900100000,63053.2,63056.5,62926.2,63056.5,320.472
1781901000000,63056.4,63077.4,63004.0,63069.4,292.956
1781901900000,63069.3,63245.9,63063.3,63217.4,718.569
1781902800000,63217.3,63253.6,63119.9,63238.4,781.554
1781903700000,63238.4,63238.4,63129.7,63131.6,324.399
1781904600000,63131.6,63140.2,63060.3,63060.4,373.6
1781905500000,63060.3,63104.9,63024.1,63048.0,475.42
1781906400000,63048.0,63080.0,63015.1,63067.0,430.302
1781907300000,63067.0,63272.7,63066.9,63233.6,1005.419
1781908200000,63233.7,63321.7,63210.0,63291.7,1023.72
1781909100000,63291.8,63345.1,63270.8,63287.8,545.583
1781910000000,63287.8,63312.2,63250.0,63263.7,494.148
1781910900000,63263.8,63307.2,63252.3,63289.2,263.159
1781911800000,63289.2,63337.3,63274.0,63296.9,497.656
1781912700000,63296.8,63645.0,63266.4,63512.6,3968.921
1781913600000,63512.5,63585.7,63435.0,63493.8,1408.786
1781914500000,63493.9,63621.0,63441.0,63590.3,819.858
1781915400000,63590.3,63757.2,63500.3,63575.6,2422.394
1781916300000,63575.5,63578.8,63480.4,63496.8,969.796
1781917200000,63496.8,63513.6,63400.0,63422.2,685.388
1781918100000,63422.2,63488.5,63368.5,63474.6,669.999
1781919000000,63474.5,63594.2,63474.5,63540.7,949.981
1781919900000,63540.6,63558.8,63516.1,63550.9,339.604
1781920800000,63551.0,63551.0,63430.9,63441.8,478.985
1781921700000,63441.8,63441.9,63354.7,63382.3,488.684
1781922600000,63382.2,63469.6,63331.1,63372.3,702.29
1781923500000,63372.3,63400.0,63301.8,63305.7,1052.839
1781924400000,63305.8,63353.5,63283.5,63319.7,556.016
1781925300000,63319.8,63425.0,63319.8,63417.0,485.54
1781926200000,63417.0,63487.2,63382.9,63456.3,440.751
1781927100000,63456.3,63466.2,63400.0,63440.5,299.522
1781928000000,63440.5,63444.0,63367.6,63399.2,303.374
1781928900000,63399.1,63547.0,63392.4,63542.2,498.133
1781929800000,63542.2,63588.0,63487.6,63578.1,683.7
