side_bear,box_range_pct,box_len,bars_since_box,wick_atr,pierce_atr,body_atr,atr_pct,vol_surge,ret_5,ret_20,label,symbol,tf,ts
1,0.011012812690665081,11,3,0.6127735596248443,0.8066100937918491,0.20634211701655095,0.002412923527890334,1.1462737652842714,0.008613080926438865,0.005613715672887265,0,BNB/USDT,15m,1779793200000
0,0.010463356423540448,13,1,1.332992065523447,1.1609930893268678,0.22037368825186182,0.0027062259127191564,3.223227854226322,-0.006555718792900067,-0.006124858443967929,1,ETH/USDT,15m,1779856200000
0,0.007334039014063241,15,1,0.9767441860465351,0.6186046511627863,0.09767441860463906,0.0023203358551247364,2.5917517145570064,-0.005484598046581413,-0.004437424789410227,1,XRP/USDT,15m,1779856200000
1,0.012328013208585394,19,11,0.7033492822966726,0.46889952153113496,0.13397129186601306,0.0032502877048925603,1.0363993544004189,0.0022913256955809924,0.0045931758530184386,0,AVAX/USDT,15m,1779865200000
1,0.007580978635423741,18,9,0.543689320388392,0.2530967525946146,0.2671576832942474,0.0032460616914730595,2.04448161344691,0.007263922518159882,0.0028378749504134326,0,BNB/USDT,15m,1779895800000
1,0.0176426426426426,13,1,1.3664383561644005,0.7431506849315119,0.02397260273970421,0.005146099890733498,3.6780693641331,0.002101619483248829,-0.0006164468006411017,0,SOL/USDT,15m,1779977700000
1,0.015727391874180954,11,4,0.3962264150943332,0.13207547169809886,0.7924528301886847,0.006558188455113522,1.0231477108628433,-0.0012975778546712169,-0.0017293558149590327,0,ADA/USDT,15m,1779980400000
1,0.020145686319144047,14,5,0.46009389671361967,0.06572769953053795,0.2464788732394443,0.006808048199702792,0.9369285963718779,0.007551848512173054,0.008916478555304863,0,LINK/USDT,15m,1779984900000
0,0.0049304399711082286,8,1,1.212871287128704,0.7537128712871394,0.13861386138611229,0.0018109567365125025,2.263660233914759,-0.0037979431715170486,-0.006205466423437334,0,BNB/USDT,15m,1780019100000
1,0.008901676257192877,10,15,1.2601036269429868,0.9264248704663245,0.05803108808289575,0.0023952541699761775,1.6788191860209656,0.0013471260482480485,0.0037171016572492555,1,ETH/USDT,15m,1780035300000
1,0.016358157554885913,26,1,1.1475409836065569,0.9180327868852391,0.11475409836064294,0.0036956258330304178,2.5399638466441825,0.003831417624521105,0.005543710021322035,1,ADA/USDT,15m,1780035300000
1,0.01024386514792436,11,1,0.5678627145085678,0.3276131045241943,0.3931357254290234,0.0034675639416626904,1.3399879632739533,0.002657756853216009,0.007400625619897738,0,XRP/USDT,15m,1780042500000
0,0.00718530863809322,16,9,1.6156862745097693,0.525490196078402,0.1254901960784962,0.0020002823928083864,2.3198789067519447,-0.0033772691026784374,-0.0015038300672024496,0,BNB/USDT,15m,1780055100000
0,0.021775544388609736,15,1,0.8045977011494401,0.6436781609195378,0.3218390804597689,0.005200239091452505,2.041155573433231,-0.009121061359867233,-0.004995836802664466,0,DOT/USDT,15m,1780057800000
0,0.009518259518259558,24,7,0.8456375838926403,0.37583892617448456,0.18791946308720892,0.0020653710737157495,2.1804610062725955,-0.0025164537359658734,0.00019409937888203999,0,LTC/USDT,15m,1780057800000
0,0.011178831276708559,29,2,0.720602872174011,0.851983506327304,0.16920233186405034,0.0025135326194562504,1.621960682786853,-0.0038080996884736207,-0.00395207670916109,0,ETH/USDT,15m,1780058700000
0,0.015615394073527555,39,12,0.7507886435331301,0.35331230283910897,0.13249211356467372,0.002779970183285102,1.2062973209456949,-0.004522121730628048,-0.008882939888050667,0,SOL/USDT,15m,1780058700000
0,0.015451865406119827,33,3,1.1023622047244024,1.1023622047244024,0.3858267716535466,0.003683454906680976,3.077764683312546,-0.003540360105199314,-0.01074512954408513,0,DOGE/USDT,15m,1780061400000
0,0.01662361001909465,40,16,0.9475982532751339,1.6506550218340816,1.0698689956331457,0.0036695777581924258,2.0441414946292897,-0.0003363982955819633,-0.01087318317985142,0,LINK/USDT,15m,1780061400000
0,0.016993315962388168,42,5,1.065539112050734,1.3615221987314907,0.5031712473572809,0.0038245092014618618,1.6810920777958527,-0.0012436404748447094,-0.011635712687402266,0,AVAX/USDT,15m,1780061400000
0,0.005543132499763758,7,1,1.1184573002755187,0.555371900826468,0.37796143250689457,0.0020376407824540576,1.9113091279180128,-0.0004398919122728939,-0.002539742263192535,0,BNB/USDT,15m,1780061400000
