ts,open,high,low,close,vol
1782207000000,1652.9,1653.23,1650.85,1651.09,9807.053
1782207300000,1651.08,1652.47,1650.77,1650.83,9350.519
1782207600000,1650.84,1651.24,1647.25,1648.83,17460.342
1782207900000,1648.84,1650.61,1648.22,1650.61,9861.204
1782208200000,1650.6,1651.08,1650.0,1650.24,4302.551
1782208500000,1650.23,1650.64,1649.24,1649.94,6176.699
1782208800000,1649.95,1657.96,1649.94,1657.03,32413.116
1782209100000,1657.02,1657.76,1654.18,1654.57,11725.934
1782209400000,1654.56,1655.82,1654.45,1655.41,6155.651
1782209700000,1655.41,1655.42,1653.0,1654.55,7481.91
1782210000000,1654.55,1655.08,1652.81,1653.22,7711.98
1782210300000,1653.22,1653.86,1652.12,1653.08,7534.347
1782210600000,1653.08,1653.43,1650.47,1650.68,9703.624
1782210900000,1650.68,1652.42,1650.26,1651.83,7150.735
1782211200000,1651.83,1652.3,1648.3,1649.59,10730.444
1782211500000,1649.6,1651.09,1648.5,1650.16,18391.402
1782211800000,1650.16,1651.98,1649.35,1650.54,7749.589
1782212100000,1650.55,1652.24,1650.55,1651.75,3965.273
1782212400000,1651.75,1654.46,1651.66,1652.51,9577.577
1782212700000,1652.5,1654.64,1652.11,1653.27,6327.91
1782213000000,1653.28,1655.0,1653.06,1655.0,4243.184
1782213300000,1655.0,1656.31,1654.21,1655.99,10449.182
1782213600000,1655.98,1662.66,1654.58,1661.06,45956.535
1782213900000,1661.06,1661.1,1657.64,1659.61,12558.692
1782214200000,1659.61,1662.66,1658.73,1658.87,15908.797
1782214500000,1658.86,1661.85,1658.26,1660.71,10146.879
1782214800000,1660.7,1662.16,1659.83,1660.38,11463.393
1782215100000,1660.37,1662.91,1657.72,1657.73,15775.05
1782215400000,1657.72,1659.55,1656.87,1659.55,13065.386
1782215700000,1659.55,1660.0,1658.43,1659.93,4097.646
1782216000000,1659.93,1661.57,1658.39,1658.89,10667.171
1782216300000,1658.88,1659.57,1658.1,1658.85,3714.306
1782216600000,1658.85,1659.08,1655.44,1657.58,12378.726
1782216900000,1657.58,1659.16,1656.0,1658.27,8545.044
1782217200000,1658.27,1658.28,1656.37,1657.07,4301.559
1782217500000,1657.07,1657.8,1655.13,1657.66,7307.924
1782217800000,1657.66,1659.99,1655.27,1655.27,10062.555
1782218100000,1655.26,1658.3,1654.04,1656.53,10743.88
1782218400000,1656.53,1658.31,1655.95,1657.26,7927.112
1782218700000,1657.25,1657.96,1656.24,1656.86,5879.139
1782219000000,1656.86,1656.99,1652.75,1654.33,26459.583
1782219300000,1654.32,1655.5,1653.34,1653.63,7294.099
1782219600000,1653.65,1654.27,1651.1,1652.16,28374.244
1782219900000,1652.17,1653.1,1649.0,1649.87,24747.891
1782220200000,1649.88,1652.45,1648.65,1652.0,25949.058
1782220500000,1652.0,1652.0,1648.83,1650.0,11181.68
1782220800000,1650.0,1650.65,1647.61,1649.69,19849.983
1782221100000,1649.69,1650.0,1646.29,1648.28,23381.507
1782221400000,1648.28,1661.09,1643.66,1657.75,108630.517
1782221700000,1657.75,1659.82,1654.15,1656.41,38545.23
1782222000000,1656.42,1659.44,1652.42,1658.22,24538.015
1782222300000,1658.21,1663.33,1655.3,1657.65,45007.146
1782222600000,1657.66,1663.32,1657.66,1659.99,25723.707
1782222900000,1659.99,1662.42,1657.83,1662.06,15860.424
1782223200000,1662.06,1666.8,1661.03,1663.76,44399.178
1782223500000,1663.76,1663.76,1658.49,1662.21,16043.475
1782223800000,1662.22,1667.57,1659.33,1666.71,21232.066
1782224100000,1666.71,1669.73,1664.33,1667.86,40053.693
1782224400000,1667.86,1668.88,1659.5,1660.2,25225.571
1782224700000,1660.2,1662.23,1657.05,1661.2,21501.448
1782225000000,1661.2,1664.18,1658.58,1663.73,16747.034
1782225300000,1663.74,1672.0,1662.2,1664.0,39220.725
1782225600000,1663.99,1665.34,1661.23,1662.47,26349.222
1782225900000,1662.47,1664.32,1659.21,1663.52,16465.935
1782226200000,1663.52,1665.32,1660.12,1661.57,9418.084
1782226500000,1661.56,1663.82,1659.4,1661.26,22983.174
1782226800000,1661.27,1662.74,1658.82,1660.23,15271.18
1782227100000,1660.23,1660.75,1654.51,1657.63,23278.915
1782227400000,1657.63,1658.63,1653.67,1656.06,19414.678
1782227700000,1656.07,1656.07,1652.59,1654.0,13450.604
